answer,qid
The lion was sleeping in a lair.,fables-06-1
"The Mouse, terrified, piteously entreated him to spare its life.",fables-06-2
"The idea of so insignificant a creature ever being able to do anything for him amused the Lion so much that he laughed aloud, and good-humouredly let it go.",fables-06-3
"One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.",fables-06-4
Lion,fables-06-5
because ran a mouse into face the of lion the,fables-06-6
trapper,fables-06-7
trapper,fables-06-8
The lion began attacking the mouse.,fables-06-9
A Lion asleep in his lair was waked up by a Mouse running over his face.,fables-06-10
A trapper spread some net in order to catch a big game.,fables-06-11
mouse,fables-06-12
The mouse recognized the voice of the lion.,fables-06-13
"One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.",fables-06-14
"Without more ado it set to work to gnaw the ropes with its teeth, and succeeded before long in setting the Lion free.",fables-06-15
lion,fables-06-16
mouse,fables-06-17
because ran a mouse into face the of lion the,fables-06-18
lion,fables-06-19
some net,fables-06-20
The lion lost temper and seized the mouse with the paw of the lion.,fables-06-21
The lion lost temper and seized the mouse with the paw of the lion.,fables-06-22
to gnaw ropes teeth,fables-06-23
"Without more ado it set to work to gnaw the ropes with its teeth, and succeeded before long in setting the Lion free.",fables-06-24
mouse,fables-06-25
The lion awaked because a mouse ran into the face of the lion.,fables-06-26
The lion lost temper and seized the mouse with the paw of the lion.,fables-06-27
There once was a lion.,fables-06-28
The lion awaked because a mouse ran into the face of the lion.,fables-06-29
The lion awaked because a mouse ran into the face of the lion.,fables-06-30
Louisiana was adversely affected by Hurricane Gustav.,blogs-03-1
"The storm rolled in on Monday, September 1, in the morning.",blogs-03-2
Winds started kicking up.,blogs-03-3
Bush,blogs-03-4
"Once, storm was occurring in Louisiana.",blogs-03-5
The narrator went back to a store named Home Depot in order to purchase a portable generator.,blogs-03-6
An area of a neighborhood of the narrator had a large group of pine trees and had a group of oak trees.,blogs-03-7
because owned it a group of trees and near the house of narrator the,blogs-03-8
The narrator brought the family of the narrator to the house of the parent of the narrator.,blogs-03-9
narrator,blogs-03-10
area,blogs-03-11
The tree split apart and fell on the yard of a neighbor.,blogs-03-12
narrator,blogs-03-13
to be concerned were and were,blogs-03-14
"My wife, our five children, and our dog, stayed in an area of the home where we felt safest.",blogs-03-15
"The group of power lines began to be down over a city, and the fourth tree began to be down over the city.",blogs-03-16
"Once, storm was occurring in Louisiana.",blogs-03-17
narrator,blogs-03-18
"Once, storm was occurring in Louisiana.",blogs-03-19
narrator,blogs-03-20
"Here's what happened to me and my family:
We watched the storm moving in all of last weekend on the Weather Channel and local news.",blogs-03-21
"The storm rolled in on Monday, September 1, in the morning.",blogs-03-22
to be concerned were and were,blogs-03-23
The narrator stood up on a patio and watched a large tree.,blogs-03-24
The tree split apart and fell on the yard of a neighbor.,blogs-03-25
narrator,blogs-03-26
narrator,blogs-03-27
The tree split apart and fell on the yard of a neighbor.,blogs-03-28
narrator,blogs-03-29
narrator,blogs-03-30
The tree split apart and fell on the yard of a neighbor.,blogs-03-31
couldn't find the answer,blogs-03-32
An oven broke because the broiler of the oven activated.,blogs-06-1
The oven scorched a group of treats and created some fire.,blogs-06-2
husband,blogs-06-3
the door oven,blogs-06-4
we,blogs-06-5
The oven malfunctioned... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck??...,blogs-06-6
my husband went to get a batch of cookies and found them in flames.,blogs-06-7
Luckily the fire extinguisher worked but our stove was toast.,blogs-06-8
"Since then we have been using a plug-in burner, griddle, and counter top oven.",blogs-06-9
"The oven began to be broken, and the fire extinguisher eliminated the fire.",blogs-06-10
The fire ascended to the ceiling of the house.,blogs-06-11
The fire ascended to the ceiling of the house.,blogs-06-12
The husband of the narrator quickly shut the door of the oven in order to prevent the fire spreading.,blogs-06-13
So excited about my new range I ordered a few days ago.,blogs-06-14
my husband went to get a batch of cookies and found them in flames.,blogs-06-15
The oven scorched a group of treats and created some fire.,blogs-06-16
husband,blogs-06-17
An oven broke because the broiler of the oven activated.,blogs-06-18
So excited about my new range I ordered a few days ago.,blogs-06-19
